,colony,treatment,week,date,exp_date,bees_sum_perweek,comb_sum_perweek,first_comb_frame,bees_percombcm2,combcm2_perbee,nframes_with_comb,avg_comb_perframe,initial_region,nestarea_seasontotal,prop_area_seasontotal,days_since_last_insp,nestheight,nestwidth,nestaspecthw,nestdepth,nestarea,nestareagrowth,nestcentX,nestcentY,nestcentZ,nestheightperc,nestwidthperc,nestdepthperc,nestareaperc,initialN,initialE,initialQ,initialQl,bees_sumgrowth,nframes_growth,Weight_Day_Mean,Weight_Gain,Temp_Day_Mean,Temp_Week_Mean,Temp_OO_Mean,Amb_Temp_Day_Mean,Amb_Temp_Day_Min,Amb_Temp_Day_Max,Amb_Temp_Day_Diff,Precip_Day_Ttl,Cloud_Cover_Mean,Wind_Mean,Nest_Amb_Diff,Nest_Amb_Diff_Mean,Nest_Amb_Diff_Min,Nest_Amb_Diff_Max,Gram_perBee
17,DD2,DD,4,20210502,28,8300.0,5325.0,9.0,800.0,0.00125,10.0,532.5,3,7750.0,0.6870967741935484,6.0,20.0276295133438,42.49105180533753,0.611427889795966,10.0,5593.801812558378,1046.5351064521935,233.0,120.6,6.355689828801611,0.981746544771755,0.9858712715855574,1.0,0.636208749892905,0.0,1.0,3.0,SE,2900.0,1.0,6.058767951625096,1.4808855165998027,34.354401154401124,31.672321495753927,-0.6141269841269837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7299720423644693
18,DD2,DD,5,20210508,34,12000.0,6462.5,9.0,342.85714285714283,0.0029166666666666,10.0,646.25,3,7750.0,0.8338709677419355,6.0,20.0276295133438,43.1,0.47580209932644657,10.0,6600.201603424611,1006.3997908662328,271.4,127.1,5.84163973464875,0.981746544771755,1.0,1.0,0.7506712164397219,0.0,1.0,3.0,SE,3700.0,0.0,7.416855631141346,1.3580876795162506,27.074074074074066,31.672321495753927,-6.25837962962963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6180713025951121
19,DD2,DD,6,20210517,43,9900.0,7425.0,9.0,133.33333333333334,0.0075,10.0,742.5,3,7750.0,0.9580645161290322,9.0,20.16295133437991,43.1,0.46999570038696514,10.0,7623.910807799514,1023.7092043749034,298.7,138.0,5.620406189555125,0.9883799673715642,1.0,1.0,0.8671023620171414,0.0,1.0,3.0,SE,-2100.0,0.0,9.10071806500378,1.6838624338624344,34.147912652536924,32.65894924555466,-0.4445793192035965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9192644510104828
20,DD2,DD,7,20210524,50,12000.0,7587.5,9.0,164.7058823529412,0.0060714285714285,10.0,758.75,3,7750.0,0.979032258064516,7.0,20.16295133437991,43.1,0.4688013667005264,10.0,7693.189663823508,75.73841234791252,300.9,139.3,5.616685456595265,0.9883799673715642,1.0,1.0,0.8749817642308708,0.0,1.0,3.0,SE,2100.0,0.0,9.023809523809524,-0.07690854119425694,33.9036398467433,33.4153686764231,-0.3957982120051078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7519841269841269
21,DD2,DD,8,20210531,57,11500.0,7637.5,9.0,141.1764705882353,0.0070833333333333,10.0,763.75,3,7750.0,0.985483870967742,7.0,20.230612244897962,43.1,0.46901145073413986,10.0,7723.766117889738,36.8895144281592,301.6,139.8,5.616685456595265,0.9916966786714688,1.0,1.0,0.8784593646660455,0.0,1.0,3.0,SE,-500.0,0.0,9.089380196523056,0.06557067271353212,32.95067340067339,32.925817604221244,-1.078978675645342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7903808866541788
22,DD2,DD,9,20210608,65,8000.0,7750.0,9.0,94.11764705882354,0.010625,10.0,775.0,3,7750.0,1.0,8.0,20.298273155416016,43.1,0.469244035642426,10.0,7846.712853988356,123.70668390143186,304.3,140.9,5.601123595505618,0.9950133899713735,1.0,1.0,0.8924426611605882,0.0,1.0,3.0,SE,-3500.0,0.0,11.525132275132274,2.4357520786092177,34.273469387755114,33.979177042586194,-0.2829365079365077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4406415343915342
23,DD2,DD,10,20210615,72,8900.0,7700.0,9.0,117.6470588235294,0.0085,10.0,770.0,3,7750.0,0.9935483870967742,7.0,20.230612244897962,43.1,0.4683966635773865,10.0,7847.6238757519695,11.651006976875976,304.1,141.0,5.600385170919596,0.9916966786714688,1.0,1.0,0.8925462758464093,0.0,1.0,3.0,SE,900.0,0.0,10.130763416477702,-1.3943688586545715,35.8190188172043,34.48740870165018,0.0073118279569904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1382880243233373
24,DD2,DD,11,20210623,80,10900.0,7600.0,9.0,70.58823529411765,0.0141666666666666,10.0,760.0,3,7750.0,0.9806451612903224,8.0,20.365934065934066,43.1,0.4702684458398744,10.0,7846.328302088136,11.733410955494492,304.4,141.3,5.598909032568587,0.9983301012712779,1.0,1.0,0.8923989243082817,0.0,1.0,3.0,SE,2000.0,0.0,8.930650037792896,-1.2001133786848062,31.631481481481483,33.47879682386763,-1.7193981481481473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8193256915406326
25,DD2,DD,12,20210706,87,8500.0,7675.0,9.0,94.11764705882354,0.010625,10.0,767.5,3,7750.0,0.9903225806451612,7.0,20.095290423861854,43.1,0.46559645174103015,10.0,7790.353110612198,0.0,304.1,140.6,5.600385170919596,0.9850632560716596,1.0,1.0,0.8860326089136298,0.0,1.0,3.0,SE,-2400.0,0.0,7.666666666666669,-1.2639833711262272,32.471296296296295,34.36026994829732,-1.0540277777777762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9019607843137256
26,DD4,DD,0,0,0,10700.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,10700.0,0.0,2.024565381708239,0.0,29.862457912457906,31.063006235077285,-4.215723905723905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1946697482411768
